"player_names","player_ids"
"Eder Militão",337879
"Lucas Torró",249960
"Luka Modric",20874
"Jordi Alba",44288
"Lucas Boyé",303800
"Pablo Maffeo",294848
"Enes Ünal",134695
"Santiago Comesaña",362735
"Juanmi",83080
"Dani Vivian",357839
"Ferland Mendy",296337
"Íñigo Martínez",106885
"Robin Le Normand",367008
"Thomas Lemar",132962
"Sergio Canales",44189
"Arnaut Danjuma",323625
"Mikel Oyarzabal",298839
"Juan Foyth",335107
"Pau Torres",344259
"Sergi Darder",106596
"Álex Moreno",135374
"Nacho Vidal",335790
"João Félix",362431
"Santi Mina",125838
"Gerard Piqué",12712
"Antoine Griezmann",80241
"Marc Bartra",83686
"Alfonso Espino",143655
"Jules Koundé",301019
"Ronald Araújo",384711
"Geoffrey Kondogbia",91978
"Guido Rodríguez",303876
"Sergiño Dest",379205
"Héctor Bellerín",125211
"Marco Asensio",137467
"Brais Méndez",344542
"Gavi",422937
"Daniel Carvajal",106883
"Stefan Savic",77564
"Luis Milla",279320
"Dani Rodríguez",6227
"Ivan Rakitic",22732
"Yassine Bounou",136220
"Alejandro Catena",374638
"William Carvalho",99911
"Thibaut Courtois",73798
"Lucas Ocampos",115587
"Aritz Elustondo",256864
"José Giménez",135914
"Damián Suárez",83705
"Rubén García",119189
"Diego López",10445
"Óscar De Marcos",78500
"Germán Pezzella",121456
"Jorge Cuenca",333182
"Ángel Correa",127604
"Diego Carlos",134984
"Manu Trigueros",102234
"David Alaba",39722
"Alex Berenguer",238899
"Yeray Álvarez",279839
"Gerónimo Rulli",125375
"Omar Alderete",344639
